Group	File_0_Feature	File_0_m/z	File_1_Feature	File_1_m/z	File_2_Feature	File_2_m/z	File_3_Feature	File_3_m/z	File_4_Feature	File_4_m/z
478	55	620.4934			2615	620.4937				
479			802	204.1383	1631	204.1389				
480			1597	532.4114	3254	532.4116	1340	532.4106	958	532.4110
481			467	720.3637	897	720.3645	612	720.3651		
482			720	720.3666	897	720.3645	612	720.3651		
483			528	604.3111	966	604.3155	492	604.3104		
484			528	604.3111	965	604.3093	492	604.3104		
485			186	281.1967	723	281.1967	148	281.1973		
486			831	231.1578	1690	231.1582	719	231.1574		
487			625	660.3448	1158	660.3455	571	660.3440		
488			179	808.3854	632	808.3802				
489			1009	401.2079	2021	401.2084	869	401.2078		
490			1009	401.2079	2163	401.2082	869	401.2078		
491			1081	401.2083	2021	401.2084	869	401.2078		
492			1081	401.2083	2163	401.2082	869	401.2078		
493			598	130.1590	1142	130.1591	640	130.1586		
494			260	500.2715	1370	500.2810				
495			303	414.2276	838	414.2335	348	414.2292		
496	127	717.5708	1497	717.5717	2975	717.5728	1230	717.5701	869	717.5728
497			1149	362.2481	2287	362.2478	962	362.2481		
498			781	922.4858	1495	922.4869	671	922.4863		
499			295	364.2452			284	364.2432		
500			893	387.2276			783	387.2283		
501	1	98.9747	6	98.9749	10	98.9750	2	98.9748	10	98.9748
502	1	98.9747	6	98.9749	10	98.9750	2	98.9748	0	98.9747
503	1	98.9747	0	98.9750	10	98.9750	2	98.9748	10	98.9748
504	1	98.9747	0	98.9750	10	98.9750	2	98.9748	0	98.9747
505	1	98.9747	6	98.9749	0	98.9750	2	98.9748	10	98.9748
506	1	98.9747	6	98.9749	0	98.9750	2	98.9748	0	98.9747
507	1	98.9747	0	98.9750	0	98.9750	2	98.9748	10	98.9748
508	1	98.9747	0	98.9750	0	98.9750	2	98.9748	0	98.9747
509			1068	397.3355	2135	397.3363	911	397.3358		
510			1043	704.5160	2110	704.5170				
511			757	844.4269	1427	844.4284				
512			366	954.4412	833	954.4430	339	954.4352		
513	224	610.1853	1657	610.1848	3417	610.1850			1004	610.1845
514			375	459.2644	249	459.2674				
515			317	463.3135			176	463.3075		
516			593	835.4149	1077	835.4062				
517			1614	644.5082	3284	644.5103				
518			676	952.4997	1316	952.4968	624	952.4933		
519	191	799.5635	1563	799.5630	3209	799.5663	1364	799.5656	935	799.5623
520	191	799.5635	1563	799.5630	3209	799.5663	1272	799.5636	935	799.5623
521	179	799.5632	1563	799.5630	3209	799.5663	1364	799.5656	935	799.5623
522	179	799.5632	1563	799.5630	3209	799.5663	1272	799.5636	935	799.5623
523	172	740.5783	1523	740.5726			1297	740.5817		
524							1297	740.5817	924	740.5915
525			278	632.3136	686	632.3134	254	632.3131		
526			1241	376.2632	2397	376.2629	1027	376.2626		
527			328	530.2830	663	530.2858	594	530.2817		
528	96	854.5713			3078	854.5774				
529	29	297.9916			33	297.9895	42	297.9914		
530			227	565.3641	598	565.3651	236	565.3637		
531			332	557.3547	669	557.3561	307	557.3543		
532			73	320.1993	269	320.1986	166	320.1970		
533			499	515.2820			484	515.2918		
534					63	214.9543	40	214.9539	33	214.9539
535			847	218.1538	1738	218.1543	741	218.1531		
536			1189	433.3050	2332	433.3053	975	433.3045		
537			1076	343.1545	2160	343.1545	919	343.1540		
538			1100	338.2144	2235	338.2152	943	338.2157	638	338.2168
539	37	389.1127	1087	389.1131	2188	389.1132				
540			326	518.2827			228	518.2831		
541			1609	548.4891	3256	548.4910	1343	548.4909		
542			1212	512.4150	2355	512.4158	1006	512.4162	753	512.4161
543			349	669.4229	763	669.4269	265	669.4247		
544			350	669.4315	763	669.4269	265	669.4247		
545			1268	702.5399	2412	702.5388	1043	702.5363		
546			482	592.3917	892	592.3892	427	592.3911		
547			543	880.4425	1014	880.4414	510	880.4390		
548			230	600.3779	607	600.3699	243	600.3773		
549			831	231.1578	904	231.1594	719	231.1574		
550			1107	121.0273					621	121.0281
551					3210	812.6104	1324	812.6107	931	812.6124
552					3210	812.6104	1324	812.6107	985	812.6115
553			500	546.3141	990	546.3146	485	546.3146		
554			500	546.3141	174	546.3141	485	546.3146		
555			63	300.2018	157	300.2018	65	300.2016	66	300.2024
556			1358	629.5039	2581	629.5052	1130	629.5030		
557			46	144.1385	128	144.1384	49	144.1382		
558	62	828.5550			2806	828.5482				
559			308	445.2820	735	445.2826	220	445.2821		
560	159	704.5245			3260	704.5260				
561			1151	420.3005	2299	420.3060				
562			1151	420.3005	2388	420.3037				
563	229	684.2047	1705	684.2034	3517	684.2036	1423	684.2036	1014	684.2056
564			335	573.3762	344	573.3697	309	573.3755		
565			1126	678.4790	2258	678.4803	954	678.4804		
566			746	861.4465			656	861.4435		
567	213	927.2685	1636	927.2695	3358	927.2695				
568	167	569.5322	1552	569.5340	3119	569.5354	1276	569.5332		
569	217	569.5335	1552	569.5340	3119	569.5354	1276	569.5332		
570	167	569.5322	1552	569.5340	3379	569.5363	1276	569.5332		
571	217	569.5335	1552	569.5340	3379	569.5363	1276	569.5332		
